Date,Content,Name,Rating
2/1/2019,love it keep it up super cell,wolfgang games,5
2/1/2019,suopar,,5
2/1/2019,addicted game,Anil Khot,5
2/1/2019,awesome,,5
2/1/2019,Am the dan of this game so much fan foreve,,5
2/1/2019,Nice game felling nice to play this game no. 1 staregy game,Om Sharma,5
2/1/2019,realy good game to clan to attacking other baces this is the best just dont rush and you will be good p.s get the barbarain king,,5
2/1/2019,awaysome,Ram Nez,5
2/1/2019,oh this is very interesting and lovly game,,5
2/1/2019,Great game play,,5
2/1/2019,Update! SuperCell rocked out! They put an army and spells in the que! Love this game..TH10 and I've been playing for 2.5 years..I would like to see an update in troop control..maybe ordering specific troops to go certain places..secondly I would like if I could repeat my army with 1 push of a button and have saved army and spells. Other than that I have no other complaints! WE WIN WARS!!!----THE DEFENDER,H Carney,5
2/1/2019,worst game very much time wasting and very much time it was taking for upgrade of any building,,1
2/1/2019,amazing👌,,5
2/1/2019,I wish this game can be played to windows/microsoft phone..,Patrick Daniel Cadag,5
2/1/2019,improve high graphics,,5
2/1/2019,This Game is Very fantastic like Mobile Legends.....,,5
2/1/2019,nice game,,5
2/1/2019,nice game...☺☺☺,michael Fastidio,5
2/1/2019,cool,,5
2/1/2019,best game for mobile,Matt Miller,5
2/1/2019,Thanks for the this game,,5
2/1/2019,nicegame,Rajah Malang,5
2/1/2019,worst,,1
2/1/2019,super,,5
2/1/2019,Crash fix it,LoveLee Yi,5
2/1/2019,i love this game I never sea this kind of game,,5
2/1/2019,edg,,5
2/1/2019,this coc contain lots of bug😑😑😑....,Sunil Gharti,1
2/1/2019,it's good game but leader ko kick out nahi kar Santa hai,,5
2/1/2019,nice,mohd Hamed,5
2/1/2019,Love the strategy mmo and just love everything,Hollow ClipZ,5
2/1/2019,great,kristopherson dizon,5
2/1/2019,I am from sri lanka. But my country flag is not in the game. I like so much this game. Please provide the national flag of sri lanka to sri lankan players... please please please do it.....,Rajitha Harshanath Senanayake,5
2/1/2019,it is overall a good game ecept for the cost of upgrading walls at town hall 8. It starts getting expensive. But everything else is good but you guys should add more defenses and let us be able to choose a theme and theme color for our base. It would be cool to see a red town hall 8 or a green town hall 4. You guys at supercell should expirement with more things and let the players expirement with those kinds of things. But overall you guys did a good job. 5 stars.,Evan Stowe,5
2/1/2019,lagging and rushing troops,05 Shigeno Goro,2
2/1/2019,what a game very nice and interesting,,5
2/1/2019,why i cant update this game?,Shuvra bhowmik,5
2/1/2019,super,,5
2/1/2019,Nice game,Rafie Afif Andika,5
2/1/2019,good game.,Patricia O'Kelley,5
2/1/2019,it is aaaaaaaawesome game you know,Kishore Mohanty,5
2/1/2019,additictive like pubg Very nice game,,5
2/1/2019,better gme in the world,,5
2/1/2019,addicted,,5
2/1/2019,this a wonderful game where you can attack and defend other clans and troops,S.A.C Imtikhab,5
2/1/2019,nice its a stragery game,,5
2/1/2019,this game is awesome,,5
2/1/2019,panget,,5
2/1/2019,good nic,mr. virgin,5
2/1/2019,pubg bakwas,,5
2/1/2019,worst game I have been playing this game about 2 years so I just take rest for 2 months from this game now I open this game to take my th 9 base to bigger it sod that u didnot had connect with supercell so you dont play that base tha they just give me 2 th pooor base such a bad n worst game im not happy with that.,Khush Bir,1
2/1/2019,nice game,datta divekar,3
2/1/2019,"Supercell, please add more builders. As it gets higher the townhall, it gets harder to upgrade faster. Or somehow reduce the upgrade time of buildings as well as the laboratory. thank you",,4
2/1/2019,superb,,5
2/1/2019,It's a fun game.,Keith Henion,4
2/1/2019,i love this game more update i want...❤,,5
2/1/2019,SUPURB,Shakuntala Bhosale,5
2/1/2019,worst game ever,Khiel Guevarra,1
2/1/2019,very addicting game..,,5
2/1/2019,super,Arul Jothi,1
2/1/2019,I love clash of clans,Andro gamer,5
2/1/2019,nice game👌👌👌👌👌,,5
2/1/2019,AWESOME,CoreyTheCuber,5
2/1/2019,"You guys still haven't released the update,it was supposed to come out in september",Reuben Newman,5
2/1/2019,good and strategies game is all of best is this game,pgv9080 pgv9080,5
2/1/2019,A good aap..,,5
2/1/2019,I have play this game this is good game but I defeat in attack so my trophies left ... I like clash of clans and clash royal ...,,5
2/1/2019,best game,Bradley Lynn,5
2/1/2019,is tha best,WR For Life,5
2/1/2019,best game i have been playing since 2012,Bill Rox,5
2/1/2019,THE BEST GAME EVER NEVER GETS BORING!!!,Jonas Woerz,5
2/1/2019,very good,Rahul Kr Sharma,4
2/1/2019,really good game although I feel like the gem mine doesn't produce enough gems and the clock tower Nerf well you guys already know,,5
2/1/2019,the best,rolando acilo,5
2/1/2019,It was awesome I love it,Darkside1226 dst,5
2/1/2019,nice game,,5
2/1/2019,It is my favourite game,,5
2/1/2019,Very good game i love it so much,,5
2/1/2019,best app to date,,5
2/1/2019,very day i lose in this game,Bernardick Moses Ang,1
2/1/2019,love it and enjoy,,5
2/1/2019,Supercel hacked my chat and now I can't tallk to my frend on clan tallk so now I'm gon'a get my revenge!,Chris Taylor,4
2/1/2019,A amazing game where you build and ride together as a clan!,,5
2/1/2019,very very nc and good strategy please add new village and more troops th7 thank u,,5
2/1/2019,is way to fun but cost to much to upgrade,,4
2/1/2019,This game is very wonderful and very nice game,G CREATIONS,5
2/1/2019,"mabagal pag mihina deta mo,!",bembo dela cruz,5
2/1/2019,YOU BROKE MY INTERNET jk,,3
2/1/2019,"Help my clan castle is glitched. When i told my buds i will leave the clan join back i join a good friend of mine but im glitched in the clan so i cant leave, it shows im in the clan but when i go into clan chat it says join a clan.when i do it says your in a clan",Andrzej Piszczór,5
2/1/2019,it is a really good game,,5
2/1/2019,More fan more attack,Claude Monkey,5
2/1/2019,জাহিদুল ইসলাম,,5
2/1/2019,india's no. 1 game.. i like soo much..,Abhishek Mondal,5
2/1/2019,weak,kurt santos,5
2/1/2019,best geme,,5
2/1/2019,I lost my th 9 bas it was max😵😤😤😤😤,Stefan Booyjens,1
2/1/2019,My favorite game ever,Zaldy Gregorio,5
2/1/2019,good,,5
2/1/2019,lol,Toismaiha Taomayakcho,5
2/1/2019,I love this game but my id in this game is lost,,5
2/1/2019,this game is a very very good👍,,5
2/1/2019,Awesome,Hannah Davis,5
2/1/2019,Great game,Roxanne Perkins,5
2/1/2019,coc is very good,Śãmęęř Ťhâpå,5
2/1/2019,ade orang sebut game ini memang tak best tapi bila sya main best nma orang sebut itu hanif,,5
2/1/2019,Clan war league matcmaking - my clan point 19000 .. other clan point 22000 above .. and their level too high.. ???????,Samsul Desa,2
2/1/2019,sick!,Jayce Bryan,5
2/1/2019,This game works well and very entertaining.,Samuel Santiago,5
2/1/2019,intresting,sangita aglave,4
2/1/2019,"very addictive ,i love it",,5
2/1/2019,good,,5
2/1/2019,Good game but getting way too pay 2 win. TH tiers do help though.,JamWitUSD,4
2/1/2019,"been playing this years, love it!!",Andrew Pierce,5
2/1/2019,It is a great game of strategy,Leo Matute,5
2/1/2019,very nice game,,5
2/1/2019,My absolute favorite game ever! I highly recommend this game to kids or adults! Good graphics! Fun challenges! All around Great gaming experience! Clash On Mates!,Travis Crawford,5
2/1/2019,hard,,5
2/1/2019,I like this game😂,Patrick Jason Martinez,5
2/1/2019,"very exciting, love it",kellar jay,4
2/1/2019,good game,ViL Sicap,5
2/1/2019,the game is still interesting,muhammad arif ashari,5
2/1/2019,great,,5
2/1/2019,best game ever,Bright Rikhotso,5
2/1/2019,👍👍👍,LET'S GO Pena,5
2/1/2019,This Game Is Really Good And Quite Addictive... But Some High Level Players Are On Master/Champion League And Makes Me Hard To Find A Easier Attack😒. But Overall The Game Is Good👌😀,cOOlname,4
2/1/2019,This is one of the best mobile games there are u wont be disappointed when u get this game,,5
2/1/2019,fun,,5
2/1/2019,this is a great game,,5
2/1/2019,i just like the game i. general for the strategy it takes to win,,5
2/1/2019,this game is so cool i cant stop playing because this game is so un stressful great game supercell,JC Nicanor,5
2/1/2019,join us,Arbaj Khan,1
2/1/2019,It's great fighting against people and grahpics look terrific,JMeer gaming,5
2/1/2019,it's very nice game for this generation of teenager I love this game too much,bunzy gurung,5
2/1/2019,Its super addictive,,5
2/1/2019,its a really fun and a great tume consumer,Hardy Watts,5
2/1/2019,I already th12 ..hurayy,Shauki Yusuf,5
2/1/2019,Amazing ever,,5
2/1/2019,Great game. I just wish I could share my gold and elixir with my clan mates.,Chad Gerdes,4
2/1/2019,it's a great game!,Erin Keilty,5
2/1/2019,great game,alex stephenson,5
2/1/2019,good,,5
2/1/2019,it is a woust game it is not working properly,jaya kumar,5
2/1/2019,Awesome,,4
2/1/2019,i love the clash of clans beacouse this game i so fun and great i love it so much i give it 5stars,,5
2/1/2019,nice,Prafulla Sonawane,5
2/1/2019,it's good,Ramiro Gutierrez,5
